10.03.23 14:35:20, 10.41.9.9, 1.00 
10.03.23 14:35:21, 10.41.9.9, 1.01 
10.03.23 14:35:22, 10.41.9.9, 0.98 
10.03.23 14:35:23, 10.41.9.9, 1.00 
10.03.23 14:35:24, 10.41.9.9, 0.99 
10.03.23 14:35:25, 10.41.9.9, 1.00 
10.03.23 14:35:26, 10.41.9.9, 1.02 
10.03.23 14:35:27, 10.41.9.9, 0.99 
10.03.23 14:35:28, 10.41.9.9, 0.95 
10.03.23 14:35:29, 10.41.9.9, 1.00 
10.03.23 14:35:30, 10.41.9.9, 1.00 
10.03.23 14:35:31, 10.41.9.9, 1.00 
10.03.23 14:35:32, 10.41.9.9, 1.00 
10.03.23 14:35:33, 10.41.9.9, 1.02 
10.03.23 14:35:34, 10.41.9.9, 0.95 
10.03.23 14:35:35, 10.41.9.9, 0.95 
10.03.23 14:37:20, 10.41.9.9, 1.00 
10.03.23 14:37:21, 10.41.9.9, 1.00 
10.03.23 14:37:22, 10.41.9.9, 1.00 
10.03.23 14:37:23, 10.41.9.9, 1.03 
10.03.23 14:37:24, 10.41.9.9, 1.01 
10.03.23 14:37:25, 10.41.9.9, 1.00 
10.03.23 14:37:26, 10.41.9.9, 2.00 
10.03.23 14:37:27, 10.41.9.9, 1.00 
10.03.23 14:37:28, 10.41.9.9, 1.00 
10.03.23 14:37:29, 10.41.9.9, 1.00 
10.03.23 14:45:18, 10.41.9.9, 1.00 
10.03.23 14:45:19, 10.41.9.9, 1.00 
10.03.23 14:45:20, 10.41.9.9, 1.00 
13.03.23 14:44:21, 10.41.9.9, 2.00 
13.03.23 14:44:22, 10.41.9.9, 1.00 
13.03.23 14:44:23, 10.41.9.9, 1.00 
13.03.23 14:44:24, 10.41.9.9, 1.00 
13.03.23 14:44:25, 10.41.9.9, 1.34 
13.03.23 14:44:26, 10.41.9.9, 7.00 
13.03.23 14:44:27, 10.41.9.9, 1.00 
13.03.23 14:44:28, 10.41.9.9, 1.05 
13.03.23 14:44:29, 10.41.9.9, 5.98 
13.03.23 18:22:41, 10.41.9.9, None
13.03.23 18:22:46, 10.41.9.9, None
13.03.23 18:22:51, 10.41.9.9, None
13.03.23 18:22:56, 10.41.9.9, None
